ticker,company_name,exchange,country,priority
F,Ford Motor Company Common Stock,N,US,112
GE,GE Aerospace Common Stock,N,US,113
IBM,International Business Machines Corporation Common Stock,N,US,114
INTC,Intel Corporation - Common Stock,NASDAQ,US,115
PYPL,"PayPal Holdings, Inc. - Common Stock",NASDAQ,US,116
NFLX,"Netflix, Inc. - Common Stock",NASDAQ,US,117
DIS,Walt Disney Company (The) Common Stock,N,US,118
CMCSA,Comcast Corporation - Class A Common Stock,NASDAQ,US,119
T,AT&T Inc.,N,US,120
PFE,"Pfizer, Inc. Common Stock",N,US,121
BAC,Bank of America Corporation Common Stock,N,US,122
C,"Citigroup, Inc. Common Stock",N,US,123
RY.TO,RY,TSX,CA,201
TD.TO,TD,TSX,CA,202
SHOP.TO,SHOP,TSX,CA,203
ENB.TO,ENB,TSX,CA,204
CNR.TO,CNR,TSX,CA,205
SU.TO,SU,TSX,CA,206
A,"Agilent Technologies, Inc. Common Stock",N,US,9000
AA,Alcoa Corporation Common Stock ,N,US,9000
AACB,Artius II Acquisition Inc. - Class A Ordinary Shares,NASDAQ,US,9000
AACBR,Artius II Acquisition Inc. - Rights,NASDAQ,US,9000
AACBU,Artius II Acquisition Inc. - Units,NASDAQ,US,9000
AACG,"ATA Creativity Global - American Depositary Shares, each representing two common shares",NASDAQ,US,9000
AACI,Armada Acquisition Corp. III - Class A Ordinary Share,NASDAQ,US,9000
AACIU,Armada Acquisition Corp. III - Units,NASDAQ,US,9000
AACIW,Armada Acquisition Corp. III - Warrant,NASDAQ,US,9000
AACO,Abony Acquisition Corp. I - Class A Ordinary Share,NASDAQ,US,9000
AACOU,Abony Acquisition Corp. I - Units,NASDAQ,US,9000
AACOW,Abony Acquisition Corp. I - Warrants,NASDAQ,US,9000
AACP,Apogee Acquisition Corp - Class A Ordinary Shares,NASDAQ,US,9000
AACPR,Apogee Acquisition Corp - Rights,NASDAQ,US,9000
AACPU,Apogee Acquisition Corp - Units,NASDAQ,US,9000
AACPW,Apogee Acquisition Corp - Warrant,NASDAQ,US,9000
AADX,"Applied Aerospace & Defense, Inc. Common Stock",N,US,9000
AAL,"American Airlines Group, Inc. - Common Stock",NASDAQ,US,9000
AAME,Atlantic American Corporation - Common Stock,NASDAQ,US,9000
AAMI,Acadian Asset Management Inc. Common Stock,N,US,9000
AAOI,"Applied Optoelectronics, Inc. - Common Stock",NASDAQ,US,9000
AAON,"AAON, Inc. - Common Stock",NASDAQ,US,9000
AAP,Advance Auto Parts Inc.,N,US,9000
AAPG,Ascentage Pharma Group International - American Depository Shares,NASDAQ,US,9000
AARD,"Aardvark Therapeutics, Inc. - Common Stock",NASDAQ,US,9000
AAT,"American Assets Trust, Inc. Common Stock",N,US,9000
AAUC,Allied Gold Corporation Common Shares,N,US,9000
AB,AllianceBernstein Holding L.P.  Units,N,US,9000
ABAT,American Battery Technology Company - Common Stock,NASDAQ,US,9000
ABCB,Ameris Bancorp Common Stock,N,US,9000
ABCL,AbCellera Biologics Inc. - Common Shares,NASDAQ,US,9000
ABEO,Abeona Therapeutics Inc. - Common Stock,NASDAQ,US,9000
ABEV,Ambev S.A. American Depositary Shares (Each representing 1 Common Share),N,US,9000
ABG,Asbury Automotive Group Inc Common Stock,N,US,9000
ABLV,Able View Global Inc. - Class B Ordinary Shares,NASDAQ,US,9000
ABLVW,Able View Global Inc. - Warrant,NASDAQ,US,9000
ABM,ABM Industries Incorporated Common Stock,N,US,9000
ABNB,"Airbnb, Inc. - Class A Common Stock",NASDAQ,US,9000
ABOS,"Acumen Pharmaceuticals, Inc. - Common Stock",NASDAQ,US,9000
ABR,Arbor Realty Trust Common Stock,N,US,9000
ABSI,Absci Corporation - Common Stock,NASDAQ,US,9000
ABTC,American Bitcoin Corp. - Class A Common Stock,NASDAQ,US,9000
ABTS,Abits Group Inc - Ordinary Shares,NASDAQ,US,9000
ABUS,Arbutus Biopharma Corporation - Common Stock,NASDAQ,US,9000
ABVC,"ABVC BioPharma, Inc. - Common Stock",NASDAQ,US,9000
ABVX,Abivax SA - American Depositary Shares,NASDAQ,US,9000
ABX,"Abacus Global Management, Inc. Class A Common Stock",N,US,9000
ABXL,"Abacus Global Management, Inc. 9.875% Fixed Rate Senior Notes due 2028",N,US,9000
ACA,"Arcosa, Inc. Common Stock ",N,US,9000
ACAA,Averin Capital Acquisition Corp. - Class A Ordinary Shares,NASDAQ,US,9000
ACAAU,Averin Capital Acquisition Corp. - Units,NASDAQ,US,9000
ACAAW,Averin Capital Acquisition Corp. - Warrants,NASDAQ,US,9000
ACAD,ACADIA Pharmaceuticals Inc. - Common Stock,NASDAQ,US,9000
ACB,Aurora Cannabis Inc. - Common Shares,NASDAQ,US,9000
ACCL,Acco Group Holdings Limited - Class A Ordinary Shares,NASDAQ,US,9000
ACCO,Acco Brands Corporation Common Stock,N,US,9000
ACCS,ACCESS Newswire Inc. Common Stock,A,US,9000
ACDC,ProFrac Holding Corp. - Class A Common Stock,NASDAQ,US,9000
ACEL,"Accel Entertainment, Inc. ",N,US,9000
ACET,"Adicet Bio, Inc. - Common Stock",NASDAQ,US,9000
ACFN,"Acorn Energy, Inc. - Common Stock",NASDAQ,US,9000
ACGC,ACP Holdings Acquisition Corp. - Class A Ordinary Shares,NASDAQ,US,9000
ACGCU,ACP Holdings Acquisition Corp. - Units,NASDAQ,US,9000
ACGCW,ACP Holdings Acquisition Corp. - Warrants,NASDAQ,US,9000
ACGL,Arch Capital Group Ltd. - Common Stock,NASDAQ,US,9000
ACGLN,"Arch Capital Group Ltd. - Depositary Shares, each Representing a 1/1,000th Interest in a 4.550% Non-Cumulative Preferred Share, Series G",NASDAQ,US,9000
ACGLO,"Arch Capital Group Ltd. - Depositary Shares Each Representing 1/1,000th Interest in a Share of5.45% Non-Cumulative Preferred Shares, Series F",NASDAQ,US,9000
ACH,"Accendra Health, Inc. Common Stock",N,US,9000
ACHC,"Acadia Healthcare Company, Inc. - Common Stock",NASDAQ,US,9000
ACHR,Archer Aviation Inc. Class A Common Stock,N,US,9000
ACHR.W,"Archer Aviation Inc. Redeemable Warrants, each whole warrant exercisable for one Class A common stock at an exercise price of $11.50",N,US,9000
ACHV,"Achieve Life Sciences, Inc.  - Common Shares",NASDAQ,US,9000
ACI,"Albertsons Companies, Inc. Class A Common Stock",N,US,9000
ACIC,American Coastal Insurance Corporation - Common Stock,NASDAQ,US,9000
ACIU,AC Immune SA - Common Stock,NASDAQ,US,9000
ACIW,"ACI Worldwide, Inc. - Common Stock",NASDAQ,US,9000
ACLS,"Axcelis Technologies, Inc. - Common Stock",NASDAQ,US,9000
ACM,AECOM Common Stock,N,US,9000
ACMR,"ACM Research, Inc. - Class A Common Stock",NASDAQ,US,9000
ACNB,ACNB Corporation - Common Stock,NASDAQ,US,9000
ACNT,Ascent Industries Co. - Common Stock,NASDAQ,US,9000
ACOG,Alpha Cognition Inc. - Common Stock,NASDAQ,US,9000
ACON,"Aclarion, Inc. - Common Stock",NASDAQ,US,9000
ACONW,"Aclarion, Inc. - Warrant",NASDAQ,US,9000
ACP,abrdn Income Credit Strategies Fund Common Shares,N,US,9000
ACR,ACRES Commercial Realty Corp. Common Stock,N,US,9000
ACRE,Ares Commercial Real Estate Corporation Common Stock,N,US,9000
ACRS,"Aclaris Therapeutics, Inc. - Common Stock",NASDAQ,US,9000
ACRV,"Acrivon Therapeutics, Inc. - Common Stock",NASDAQ,US,9000
ACT,"Enact Holdings, Inc. - Common Stock",NASDAQ,US,9000
ACTG,Acacia Research Corporation - Common Stock,NASDAQ,US,9000
ACTU,"Actuate Therapeutics, Inc. - Common stock",NASDAQ,US,9000
ACU,Acme United Corporation. Common Stock,A,US,9000
ACV,Virtus Diversified Income & Convertible Fund Common Shares of Beneficial Interest,N,US,9000
ACVA,ACV Auctions Inc. Class A Common Stock,N,US,9000
ACXP,"Acurx Pharmaceuticals, Inc. - Common Stock",NASDAQ,US,9000
AD,"Array Digital Infrastructure, Inc. Common Shares",N,US,9000
ADAC,American Drive Acquisition Company - Class A Ordinary Shares,NASDAQ,US,9000
ADACU,American Drive Acquisition Company - Units,NASDAQ,US,9000
ADACW,American Drive Acquisition Company - Warrant,NASDAQ,US,9000
ADAG,"Adagene Inc. - ADS, each representing 1.25 ordinary shares",NASDAQ,US,9000
ADAM,"Adamas Trust, Inc. - Common Stock",NASDAQ,US,9000
ADAMG,"Adamas Trust, Inc. - 9.125% Senior Notes Due 2030",NASDAQ,US,9000
ADAMH,"Adamas Trust, Inc. - 9.875% Senior Notes Due 2030",NASDAQ,US,9000
ADAMI,"Adamas Trust, Inc. - 9.125% Senior Notes Due 2029",NASDAQ,US,9000
ADAML,"Adamas Trust, Inc. - 6.875% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock, $0.01 par value per share",NASDAQ,US,9000
ADAMM,"Adamas Trust, Inc. - 7.875% Series E Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock",NASDAQ,US,9000
ADAMN,"Adamas Trust, Inc. - 8.00% Series D Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock",NASDAQ,US,9000
ADAMO,"Adamas Trust, Inc. - 9.250% Senior Notes Due 2031",NASDAQ,US,9000
ADAMZ,"Adamas Trust, Inc. - 7.000% Series G Cumulative Redeemable Preferred Stock, $0.01 par value per share",NASDAQ,US,9000
ADC,Agree Realty Corporation Common Stock,N,US,9000
ADCT,ADC Therapeutics SA Common Shares,N,US,9000
ADEA,Adeia Inc.  - Common Stock,NASDAQ,US,9000
ADGM,"Adagio Medical Holdings, Inc - Common Stock",NASDAQ,US,9000
ADIL,"Adial Pharmaceuticals, Inc - Common Stock",NASDAQ,US,9000
ADM,Archer-Daniels-Midland Company Common Stock,N,US,9000
ADMA,ADMA Biologics Inc - Common Stock,NASDAQ,US,9000
ADNT,Adient plc Ordinary Shares ,N,US,9000
ADP,"Automatic Data Processing, Inc. - Common Stock",NASDAQ,US,9000
ADPT,Adaptive Biotechnologies Corporation - Common Stock,NASDAQ,US,9000
ADSE,ADS-TEC ENERGY PLC - Ordinary Shares,NASDAQ,US,9000
ADSEW,ADS-TEC ENERGY PLC - Warrant,NASDAQ,US,9000
ADSK,"Autodesk, Inc. - Common Stock",NASDAQ,US,9000
ADT,ADT Inc. Common Stock,N,US,9000
ADTN,"ADTRAN Holdings, Inc. - Common Stock",NASDAQ,US,9000
ADTX,"Aditxt, Inc. - Common Stock",NASDAQ,US,9000
ADUR,Aduro Clean Technologies Inc. - Common Stock,NASDAQ,US,9000
ADUS,Addus HomeCare Corporation - Common Stock,NASDAQ,US,9000
ADV,Advantage Solutions Inc.  - Class A Common Stock,NASDAQ,US,9000
ADVB,Advanced Biomed Inc. - Common Stock,NASDAQ,US,9000
ADX,Adams Diversified Equity Fund Inc.,N,US,9000
ADXN,Addex Therapeutics Ltd - American Depositary Shares,NASDAQ,US,9000
AEAQ,Activate Energy Acquisition Corp. - Class A Ordinary Share,NASDAQ,US,9000
AEAQU,Activate Energy Acquisition Corp. - Unit,NASDAQ,US,9000
AEAQW,Activate Energy Acquisition Corp. - Warrant,NASDAQ,US,9000
AEBI,Aebi Schmidt Holding AG - Common Stock,NASDAQ,US,9000
